Country,Country Code,Region,Date,Year,Number of MPs,Percent female MPs,Mean age,Median age,Percent MPs aged 30 or under,Percent MPs aged 35 or under,Percent MPs aged 40 or under,Percent MPs aged 41 to 60,Percent MPs aged 61 or over,Percent female MPs aged 30 or under,Percent female MPs aged 35 or under,Percent female MPs aged 40 or under,Percent female MPs aged 41 to 60,Percent female MPs aged 61 or over,Age Representation Index 30 or under (ARI 30),Age Representation Index 35 or under (ARI 35),Age Representation Index 40 or under (ARI 40),Age Representation Index 41 to 60 (ARI 41 to 60),Age Representation Index 61 or over (ARI 61 plus),Coverage MPs,Coverage Age,Coverage Gender
"Afghanistan","AFG","Middle East and North Africa","2011-01-26","2011","249","27","43.9","46","13","20","40","53","6.7","33.3","50","83.3","16.7","0","0.63","0.74","1.23","1.91","0.38","104","6","99"
"Åland","ALA","Western Europe","2007-01-02","2007","30","30","51.9","52","0","13","17","53","30","0","13","11","56","33","0","0.62","0.62","1.29","1.06","100","100","100"
"Åland","ALA","Western Europe","2011-01-02","2011","30","23","50.6","50","3","7","20","57","23","0","7","14","71","14","0.2","0.33","0.74","1.42","0.75","100","100","100"
"Åland","ALA","Western Europe","2015-11-02","2015","30","30","50.7","51.5","3","7","17","70","13","0","11","22","78","0","0.2","0.33","0.62","1.83","0.4","100","100","100"
"Åland","ALA","Western Europe","2019-02-09","2019","30","30","51.3","52.5","6.7","13.3","26.7","43.3","30","0","11.1","33.3","44.4","22.2","NA","NA","NA","NA","NA","100","100","100"
"Albania","ALB","Eastern Europe","2009-08-09","2009","140","17","44.6","44","3","11.2","31","64","4.5","6.3","11.2","43.8","50","6.3","0.16","0.42","0.95","1.82","0.21","100","64","98"
"Albania","ALB","Eastern Europe","2013-09-09","2013","140","21.6","47.4","47","3.4","7.7","22","70","6.8","13","7.7","52.2","43.5","4.4","0.15","0.26","0.63","2.06","0.32","99","84","100"
"Albania","ALB","Eastern Europe","2017-09-09","2017","140","8.6","48.2","49","7.2","10.1","21","72","5.8","16.7","16.7","50","50","0","0.32","0.33","0.59","2.12","0.25","100","99","44"
"Albania","ALB","Eastern Europe","2021-04-25","2021","140","37.7","51","51","0","5.8","15.9","72.5","11.6","0","4.16","20.8","75","4.2","0","0.14","0.3","2.19","0.82","54.3","49.3","54.3"
"Andorra","AND","Western Europe","2015-03-23","2015","28","35","46.1","44","6","6","29","65","6","9","9","18","82","0","0.54","0.34","1.11","1.4","0.23","111","100","100"
